_unit_id_,channel,trust,worker_id,country,region,city,emotion,tweet_id,tweet_body
314960382,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82846118,Fire Weather Watch issued May 17 at 4:21PM CDT expiring May 19 at 9:00PM CDT by NWS Lubbock... {link}
314960385,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82510997,Passing out now.  working tonight. Storms today would be nice. Would be great sleeping weather. Mmmm
314960391,clixsense,0.4541,18034918,IND,7,Delhi,Negative,83271279,"RT @mention: ""The storm is only that which authenticates your path"" -- @mention"
314960396,clixsense,0.4541,18034918,IND,7,Delhi,Positive,80058872,It is hot out here but it feels great
314960400,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,80058809,I can't find a way to delete my iWitness Weather account but at least I've deleted ALL my photos on the site. (1 of which had 3K + views)
314960401,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,79188429,Record LOW humidity in Phoenix today:  {link}
314960404,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82838136,@mention oh nice! We're all the way here in sunny Burbank California!
314960405,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82513588,"@mention no, normal pajamas. it's not that cold out!"
314960406,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84321017,@mention Is any part of this storm system going to make it across the mountains/in to NC & SC?
314960407,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82680080,@mention cherry slush
314960413,clixsense,0.4541,18034918,IND,7,Delhi,Negative,82510259,"In Florida, the hotter it is outside, the colder it is inside. Freezing at my desk today."
314960416,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,83258314,"@mention yeah, i'm talking, you see these pics of the river up on the rocks, as opposed to storm conditions"
314960422,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,80052652,For details about 2 Person Hot Tubs check out his latest web site about Hot Tub Chemicals. Posted in Spa and Med... {link}
314960426,clixsense,0.4541,18034918,IND,7,Delhi,Positive,79189357,"Nothing says ""Happy Cinco de Mayo!"" like an AP test and a rainy day. #fail"
314960430,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,83257167,Severe Thunderstorm Warning issued May 19 at 3:40PM MDT expiring May 19 at 4:30PM MDT by NWS Boulder {link}.... {link}
314960432,clixsense,0.4541,18034918,IND,7,Delhi,Negative,84312699,"Tornado season really is nvr over. If its a severe thunderstorm, a tornado can form RT @mention How long is (cont) {link}"
314960433,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,79187315,@mention @mention @mention it's just something to do and really storm? You don't know what a wet dream?
314960434,clixsense,0.4541,18034918,IND,7,Delhi,Negative,84034743,It's fuckin hot out
314960435,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84319723,"After being told no pink for decades USDA now says cooked pork can be pink, @ 145 degrees not 160. Next will they admit alien UFO's are real"
314960436,clixsense,0.4541,18034918,IND,7,Delhi,Positive,83259244,Sunshine parks and new hair scarves make life not so bad when @mention stays up all night.
314960438,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84047815,"RT @mention: Severe Thunderstorm Warning for Dakota, Goodhue, Rice and Steele County in MN until 2:30pm. More: {link} & o ..."
314960441,clixsense,0.4541,18034918,IND,7,Delhi,Positive,83268482,RT @mention: This kind of weather makes me want to go swimming.
314960446,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,81995233,"@mention delicious! Lol I have been waiting for this 70 degrees for oh...8 months! No joke. I've been out being a real ""dirty girl"" lol"
314960459,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82845437,"""@mention: @mention awwww sounds sad lol its always hot there so yaw need a break anyway""--that's not fair, I want nice weather lol"
314960460,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82844107,"Thunderstorms today, high 69 (21 C)."
314960465,clixsense,0.4541,18034918,IND,7,Delhi,Positive,83255526,I love the weather in PHX right now!!
314960473,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,82675594,"@mention I gotta say, you are so stunning. I've been working out for the last few months and im trying to get my hot body too xoxo"
314960476,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,81996945,@mention lol at Gary saying it to Storm. Hope the subtitles work for Celebrity Juice at 11pm....
314960477,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82839844,@mention I love thunderstorms too but I couldn't stay in bed all day and enjoy it
314960479,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,82849313,"Check it out!! RT @mention: I posted 46 photos on Facebook in the album ""Storm Damage"" {link}"
314960483,clixsense,0.4541,18034918,IND,7,Delhi,Negative,81169556,@mention rrrrriiight who yu tellin idk weather to be mad or cry -__-
314960486,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84305178,RT @mention: Looks like t-storm with 60+ mph winds within 30 minutes of downtown #joplin
314960490,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,80054166,#WEATHER: 2:55 pm E: 75.0F. Feels F. 29.96% Humidity. 3.5MPH Northwest Wind.
314960499,clixsense,0.4541,18034918,IND,7,Delhi,Negative,81173459,"Even when the rain falls, even when the flood stops rising, even when the storm comes, I am washed by the water."
314960500,clixsense,0.4541,18034918,IND,7,Delhi,Negative,84031506,RT @mention: I think those American nutters must have misinterpreted a bad weather forecast #rapture
314960501,clixsense,0.4541,18034918,IND,7,Delhi,Positive,80055852,@mention Keek! I love a bit of Snow Patrol! Have this band on now tho.  It's been on repeat since I heard it.  {link}
314960513,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,79193752,"Poured a cup of hot sepia coffee in a wisteria flowered mug, dandelion sunshine spilling through the periwinkle sky."
314960516,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82680423,Waking up to beautiful weather- what a great day it will be!
314960517,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82682106,"Helloooo, Sunshine!"
314960521,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82675851,#WEATHER:  1:53 am : 61.0F. Feels 58F. 29.75% Humidity. 18.4MPH West Wind.
314960524,clixsense,0.4541,18034918,IND,7,Delhi,Negative,81177034,@mention I am too haha it's kinda hot out though
314960529,clixsense,0.4541,18034918,IND,7,Delhi,Positive,84308252,Love my new jewelry books from Powell's. Much needed inspiration on a rainy Monday.
314960537,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,79186665,"Weather data at 06:30 AM. 42.5&#xB0;F, 92&#x25; humidity. Wind: 0.0 mph from the N. Rain: 0.00 in. NO CURRENT ADVISORIES"
314960538,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82677133,Im not complaining but it's FREEZING in my room!
314960544,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82510199,"RT @mention: Don't try to stop the storm,just wait with patience and faith until the storm pass away and the rainbow come to bright your  ..."
314960549,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82839379,"RT @mention: Cinderella, Snow White, and Sleeping Beauty are all gonna be pretty ticked when they find out they all married Prin ..."
314960553,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,84304530,Militants storm Pakistani naval base in Karachi \n    (AP)\n: AP - Islamist militants stormed a naval base in t... {link}
314960557,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84304558,"Severe Storm Damage In Southeast Wisconsin: At the height of Sunday's severe storms, thousands lost power in... {link}"
314960558,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84033936,#NMFire #NMwx Fire Weather Watch issued May 21 at 1:28PM MDT expiring May 23 at 9:00PM MDT by NWS Albuquerque... {link}
314960562,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82517414,"Severe Thunderstorm Warning for Choctaw, Montgomery, and Webster County in MS until 7:45pm. {link} #mswx"
314960563,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,79193917,Polo boots in 80 degree weather #fail
314960565,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84318238,"Dear #sanfrancisco, this weather blows. Rain? In may? Um no thank you. Please, get it together. Thanks"
314960566,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84311234,RT @mention: Damn this thunder storm kame out of No where
314960569,clixsense,0.4541,18034918,IND,7,Delhi,Positive,79188848,@mention you will be missed. Hope weather is ok
314960570,clixsense,0.4541,18034918,IND,7,Delhi,Positive,81995587,Just in! Joe's Provacateur petite bootcut in the Hannah wash. Perfect for warmer weather! {link}
314960572,clixsense,0.4541,18034918,IND,7,Delhi,Positive,79196060,I woke up to a beautiful ball of red coming over the horizon...oh where art thou ball of sunshine so enjoy having your around
314960574,clixsense,0.4541,18034918,IND,7,Delhi,Positive,81213147,@mention It's sunny here too. And it's closer! :D
314960576,clixsense,0.4541,18034918,IND,7,Delhi,Negative,83254598,RT @mention: The 3rd world war hasn't even happened yet... and the crazy weather is from Earth changing and possibly from H.A.A.R. ...
314960579,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,81993145,Gov. Bentley: 238 storm related fatalities in Alabama {link}
314960581,clixsense,0.4541,18034918,IND,7,Delhi,Positive,81992407,I been freezing but didn't wana get up to fool with the air #lazytweet
314960584,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82676412,"""MARY WHITE"" always be fogged out even wen its a bright sunny day"
314960585,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84311715,RT @mention: RT @mention: U.S. National Severe Weather Alerts Map - WeatherBug.com {link}
314960586,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,80058226,Nature's Sunshine Products Reports First Quarter Financial Results {link}
314960588,clixsense,0.4541,18034918,IND,7,Delhi,Tweet not related to weather condition,81992249,7:30 final and its like 95 degrees. I can't take the biggest exam of the year under these conditions. #stupidhot
314960589,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,80059118,@mention Yeah I was sick recently too. It's probably the weather or something.
314960590,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82674497,VIDEO: Hay fever surges in UK heatwave {link}
314960591,clixsense,0.4541,18034918,IND,7,Delhi,Negative,84310393,We have been Busy collecting Wal Mart Gift Cards Via Pay Pal to Give to Tornado and Storm Victims to Present to... {link}
314960594,clixsense,0.4541,18034918,IND,7,Delhi,Positive,84050095,"Turned on TV here at the hotel, immediately see meteorologists watching #Wx around Kansas. Glad it was nice weather when I landed here."
314960596,clixsense,0.4541,18034918,IND,7,Delhi,Positive,82509278,"""LIKE"" our brand new Northwest Weather Podcast page!  Mark and Brian are recording their 4th episode today.  You... {link}"
314960600,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,82843839,"Gardner WX 05/17/11 07:00 AM | 44F, 65&#x25; Humidity, Feels Like 44F | Alerts: NO CURRENT ADVISORIES | {link}"
314960602,clixsense,0.4541,18034918,IND,7,Delhi,Neutral / author is just sharing information,84318003,Watch KNWA now. Dan Skoff & Clint Boone are tracking severe weather in Benton County. Possible tornadoes may be brewing
